case_id,transaction_id,transaction_date,dispute_date,resolution_date,transaction_amount,currency,payment_method,is_recurring,is_card_present,is_cross_border,is_digital_goods,card_network,reason_code,reason_category,reason_description,merchant_id,merchant_name,merchant_category_code,merchant_category_name,merchant_monthly_volume,merchant_chargeback_rate,merchant_avg_ticket,merchant_years_active,customer_id,customer_tenure_months,customer_total_orders,customer_prior_disputes,customer_prior_win_rate,customer_account_verified,customer_email_domain,days_to_dispute,days_to_respond,response_within_deadline,deadline_days,day_of_week_transaction,month_of_year,is_holiday_period,has_delivery_tracking,has_delivery_confirmation,has_delivery_signature,has_avs_match,has_cvv_match,has_3ds_authentication,has_customer_communication,has_refund_policy_shown,has_terms_accepted,has_ip_geomatch,has_device_fingerprint,has_usage_proof,has_prior_non_disputed_txn,evidence_count,evidence_completeness,evidence_strength_score,amount_log,amount_vs_merchant_avg,customer_risk_score,is_repeat_disputer,dispute_velocity,reason_code_encoded,category_encoded,mcc_encoded,win_probability_true,case_disposition,representment_won,evidence_score
CB-2024-05124,TXN-517289702,2024-01-02,2024-01-20,2024-02-10,46.92,USD,credit,0,0,0,0,Mastercard,MC_4837,FRAUD,No Cardholder Authorization,MER-0018,ZenShop,5912,Drug Stores / Pharmacies,16900,6.51,116.2,5,CUST-00802,29,1,0,0.5,1,hotmail.com,18,10,1,45,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,8,0.75,0.7,3.8695,0.404,0.15,0,0.0,11,0,3,0.94,REPRESENTED,1,0.46249999999999997
CB-2024-04361,TXN-318461267,2024-01-02,2024-01-08,2024-02-02,52.04,USD,credit,0,0,0,0,Mastercard,MC_4837,FRAUD,No Cardholder Authorization,MER-0016,ByteDeals,5812,Eating Places / Restaurants,1759,7.446,142.23,11,CUST-01507,1,17,0,0.5,0,outlook.com,6,3,1,45,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,6,0.25,0.35,3.971,0.366,0.35,0,0.0,11,0,1,0.356,REPRESENTED,1,0.23750000000000002
CB-2024-02813,TXN-723002464,2024-01-02,2024-01-13,2024-03-09,284.88,USD,credit,0,0,0,1,Visa,Visa_13.3,CONSUMER_DISPUTE,Not as Described or Defective Merchandise,MER-0008,QuickCart,4722,Travel Agencies,9247,1.457,153.87,14,CUST-01143,31,1,3,0.384,1,hotmail.com,11,1,1,30,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,6,0.333,0.51,5.6556,1.851,0.765,1,0.0968,8,1,7,0.7947,REPRESENTED,1,0.39994999999999997
CB-2024-08137,TXN-215540375,2024-01-03,2024-01-12,2024-03-09,68.34,USD,debit,0,0,0,1,Mastercard,MC_4808,AUTHORIZATION,Authorization Related Chargeback,MER-0019,PeakCart,5999,Misc. Retail,23297,3.699,446.68,8,CUST-00965,37,4,0,0.5,1,corporate.com,9,3,1,45,2,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,8,0.5,0.65,4.239,0.153,0.15,0,0.0,9,2,4,0.8444,REPRESENTED,0,0.425
CB-2024-01229,TXN-583485588,2024-01-03,2024-02-09,2024-03-05,88.72,USD,debit,1,0,0,1,Visa,Visa_13.1,CONSUMER_DISPUTE,Merchandise / Services Not Received,MER-0012,NexCommerce,4816,Computer Network Services,18051,0.853,374.54,6,CUST-02733,1,17,2,0.535,1,outlook.com,37,3,1,30,2,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0.25,0.79,4.4967,0.237,1.139,1,2.0,7,1,11,0.98,REPRESENTED,1,0.5875
CB-2024-00595,TXN-320568122,2024-01-03,2024-01-18,2024-02-25,57.84,USD,credit,1,0,0,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0010,InnoRetail,5651,Clothing / Apparel,47361,1.391,330.38,5,CUST-01541,31,24,2,0.125,1,yahoo.com,15,1,1,30,2,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,5,1.0,0.46,4.0748,0.175,0.65,1,0.0645,0,0,9,0.98,REPRESENTED,1,0.7000000000000001
CB-2024-03543,TXN-863292308,2024-01-03,2024-01-09,2024-01-22,186.98,EUR,debit,1,0,0,1,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0006,PrimeGoods,7372,Software / SaaS,9101,2.92,237.28,18,CUST-02277,23,1,2,0.675,1,outlook.com,6,1,1,30,2,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,6,0.8,0.43,5.2363,0.788,0.619,1,0.087,0,0,5,0.6347,REPRESENTED,1,0.52
CB-2024-07344,TXN-301045706,2024-01-03,2024-02-27,2024-04-01,221.53,USD,debit,0,0,0,0,Visa,Visa_13.1,CONSUMER_DISPUTE,Merchandise / Services Not Received,MER-0005,GadgetHub,5999,Misc. Retail,45241,1.492,392.24,14,CUST-01627,77,2,2,0.349,0,outlook.com,55,15,1,30,2,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,4,0.5,0.39,5.4051,0.565,0.551,1,0.026,7,1,4,0.8473,REPRESENTED,1,0.575
CB-2024-00552,TXN-621745314,2024-01-03,2024-03-06,2024-04-29,392.66,USD,debit,0,0,0,1,Mastercard,MC_4808,AUTHORIZATION,Authorization Related Chargeback,MER-0006,PrimeGoods,7372,Software / SaaS,9101,2.92,237.28,18,CUST-00958,62,1,0,0.5,1,outlook.com,63,1,1,45,2,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,8,0.5,0.54,5.9755,1.655,0.15,0,0.0,9,2,5,0.7769,REPRESENTED,0,0.47500000000000003
CB-2024-04462,TXN-416801387,2024-01-03,2024-01-04,2024-02-04,595.62,USD,credit,0,0,0,0,Mastercard,MC_4853,CONSUMER_DISPUTE,Goods / Services Not as Described,MER-0011,AppZone,5045,Computers / Peripherals,10733,3.416,463.41,16,CUST-01426,20,23,0,0.5,1,gmail.com,1,4,1,45,2,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,7,0.0,0.59,6.3913,1.285,0.15,0,0.0,12,1,10,0.644,REPRESENTED,0,0.7
CB-2024-05404,TXN-527846087,2024-01-03,2024-01-04,2024-03-02,168.1,USD,debit,0,0,0,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0005,GadgetHub,5999,Misc. Retail,45241,1.492,392.24,14,CUST-01450,12,15,0,0.5,1,yahoo.com,1,2,1,30,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,8,0.6,0.85,5.1305,0.429,0.15,0,0.0,0,0,4,0.7922,REPRESENTED,1,0.74
CB-2024-00194,TXN-485990732,2024-01-03,2024-01-04,2024-01-25,86.11,EUR,debit,1,0,0,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0001,CloudSoft Solutions,5411,Grocery Stores,29970,5.907,410.61,1,CUST-02181,10,4,5,0.43,0,outlook.com,1,1,1,30,2,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,6,0.4,0.39,4.4672,0.21,2.871,1,0.5,0,0,0,0.5459,REPRESENTED,0,0.46
CB-2024-06196,TXN-595604437,2024-01-03,2024-02-14,2024-03-28,105.71,USD,credit,0,0,0,1,Visa,Visa_13.1,CONSUMER_DISPUTE,Merchandise / Services Not Received,MER-0010,InnoRetail,5651,Clothing / Apparel,47361,1.391,330.38,5,CUST-00374,6,10,0,0.5,1,gmail.com,42,1,1,30,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,4,0.25,0.27,4.6701,0.32,0.15,0,0.0,7,1,9,0.8141,REPRESENTED,1,0.0375
CB-2024-05468,TXN-233049990,2024-01-03,2024-01-08,2024-02-11,180.2,EUR,prepaid,0,0,0,0,Mastercard,MC_4808,AUTHORIZATION,Authorization Related Chargeback,MER-0010,InnoRetail,5651,Clothing / Apparel,47361,1.391,330.38,5,CUST-02866,11,6,0,0.5,1,gmail.com,5,3,1,45,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,6,0.0,0.54,5.1996,0.545,0.15,0,0.0,9,2,9,0.5987,REPRESENTED,1,0.5
CB-2024-08883,TXN-903140506,2024-01-04,2024-03-02,2024-03-21,475.47,USD,debit,0,0,0,0,Visa,Visa_13.1,CONSUMER_DISPUTE,Merchandise / Services Not Received,MER-0014,SmartBuy,6411,Insurance,30178,3.28,434.09,18,CUST-01207,8,10,2,0.245,1,yahoo.com,58,1,1,30,3,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,8,0.75,0.7,6.1664,1.095,1.227,1,0.25,7,1,13,0.9248,REPRESENTED,1,0.46249999999999997
CB-2024-05079,TXN-783798379,2024-01-04,2024-01-11,2024-02-18,911.72,USD,debit,0,0,1,1,Visa,Visa_13.1,CONSUMER_DISPUTE,Merchandise / Services Not Received,MER-0006,PrimeGoods,7372,Software / SaaS,9101,2.92,237.28,18,CUST-00778,1,1,1,0.304,0,gmail.com,7,7,1,30,3,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,8,0.25,0.56,6.8164,3.842,0.909,0,1.0,7,1,5,0.8391,REPRESENTED,1,0.4375
CB-2024-01927,TXN-950253042,2024-01-04,2024-05-03,2024-07-03,27.25,USD,debit,1,0,0,0,Mastercard,MC_4863,FRAUD,Cardholder Does Not Recognize,MER-0004,DigitalNest,5912,Drug Stores / Pharmacies,45060,5.072,421.92,6,CUST-02479,34,6,2,0.334,1,outlook.com,120,7,1,45,3,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,7,0.75,0.57,3.3411,0.065,0.553,1,0.0588,14,0,3,0.9174,REPRESENTED,1,0.6625000000000001
CB-2024-02302,TXN-858187651,2024-01-04,2024-02-07,2024-04-10,391.05,CAD,prepaid,0,0,0,1,Mastercard,MC_4808,AUTHORIZATION,Authorization Related Chargeback,MER-0006,PrimeGoods,7372,Software / SaaS,9101,2.92,237.28,18,CUST-01865,115,3,0,0.5,1,gmail.com,34,7,1,45,3,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,6,0.5,0.39,5.9714,1.648,0.15,0,0.0,9,2,5,0.7406,REPRESENTED,1,0.47500000000000003
CB-2024-01706,TXN-512857963,2024-01-04,2024-01-29,2024-03-05,942.1,EUR,credit,0,0,0,1,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0008,QuickCart,4722,Travel Agencies,9247,1.457,153.87,14,CUST-00250,40,7,0,0.5,1,yahoo.com,25,9,1,30,3,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,8,0.8,0.54,6.8492,6.123,0.15,0,0.0,0,0,7,0.5358,REPRESENTED,1,0.52
CB-2024-02467,TXN-176573785,2024-01-04,2024-01-06,2024-01-28,139.96,CAD,credit,1,0,0,1,Visa,Visa_12.2,PROCESSING_ERROR,Incorrect Transaction Code,MER-0020,VeloStore,7372,Software / SaaS,44888,3.743,429.74,1,CUST-00268,35,8,0,0.5,1,hotmail.com,2,3,1,30,3,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,6,0.0,0.43,4.9485,0.326,0.15,0,0.0,5,3,5,0.9103,REPRESENTED,0,0.4
CB-2024-03383,TXN-486424225,2024-01-04,2024-01-11,2024-02-27,293.64,USD,credit,0,0,0,1,Visa,Visa_10.5,FRAUD,Fraud - Counterfeit Transaction,MER-0008,QuickCart,4722,Travel Agencies,9247,1.457,153.87,14,CUST-01262,13,10,2,0.944,1,outlook.com,7,5,1,30,3,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,6,1.0,0.45,5.6858,1.908,0.94,1,0.1538,1,0,7,0.3421,REPRESENTED,0,0.55
CB-2024-03566,TXN-296614420,2024-01-05,2024-01-12,2024-02-21,120.24,USD,credit,0,0,1,0,Visa,Visa_13.1,CONSUMER_DISPUTE,Merchandise / Services Not Received,MER-0014,SmartBuy,6411,Insurance,30178,3.28,434.09,18,CUST-01865,115,3,0,0.5,1,gmail.com,7,10,1,30,4,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,6,0.25,0.52,4.7978,0.277,0.15,0,0.0,7,1,13,0.7623,REPRESENTED,1,0.7374999999999999
CB-2024-02901,TXN-189673252,2024-01-05,2024-01-25,2024-02-13,216.16,USD,credit,0,0,0,0,Mastercard,MC_4853,CONSUMER_DISPUTE,Goods / Services Not as Described,MER-0009,StreamVault,5945,Hobby / Toy Stores,18074,5.411,60.26,8,CUST-00051,34,1,0,0.5,1,gmail.com,20,1,1,45,4,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,9,0.75,0.71,5.3806,3.587,0.15,0,0.0,12,1,8,0.871,REPRESENTED,1,0.8125
CB-2024-03804,TXN-478975379,2024-01-05,2024-01-10,2024-02-19,387.07,USD,debit,0,0,0,0,Visa,Visa_13.3,CONSUMER_DISPUTE,Not as Described or Defective Merchandise,MER-0013,UrbanCart,5961,Catalog / Mail-Order,13886,2.798,244.89,14,CUST-01578,1,12,0,0.5,1,gmail.com,5,2,1,30,4,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,4,0.667,0.25,5.9612,1.581,0.15,0,0.0,8,1,12,0.5509,REPRESENTED,1,0.30005000000000004
CB-2024-00257,TXN-654174893,2024-01-05,2024-01-16,2024-03-19,27.53,EUR,debit,0,0,1,0,Mastercard,MC_4834,PROCESSING_ERROR,Duplicate Processing,MER-0016,ByteDeals,5812,Eating Places / Restaurants,1759,7.446,142.23,11,CUST-00911,84,1,2,0.478,1,outlook.com,11,16,1,45,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0.0,0.23,3.351,0.194,0.299,1,0.0238,10,3,1,0.8291,REPRESENTED,1,0.0
CB-2024-02670,TXN-996178679,2024-01-05,2024-01-26,2024-03-16,116.71,USD,debit,0,0,1,0,Visa,Visa_13.3,CONSUMER_DISPUTE,Not as Described or Defective Merchandise,MER-0010,InnoRetail,5651,Clothing / Apparel,47361,1.391,330.38,5,CUST-00928,2,1,4,0.462,1,yahoo.com,21,1,1,30,4,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,5,0.0,0.38,4.7682,0.353,2.162,1,2.0,8,1,9,0.4913,REPRESENTED,1,0.4
CB-2024-06529,TXN-639775010,2024-01-05,2024-01-14,2024-02-28,175.47,USD,credit,0,0,1,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0010,InnoRetail,5651,Clothing / Apparel,47361,1.391,330.38,5,CUST-00097,21,9,2,0.225,1,gmail.com,9,1,1,30,4,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,8,1.0,0.78,5.1732,0.531,0.804,1,0.0952,0,0,9,0.98,REPRESENTED,1,1.0
CB-2024-03637,TXN-590523818,2024-01-05,2024-01-23,2024-02-05,349.65,USD,credit,0,0,0,1,Mastercard,MC_4837,FRAUD,No Cardholder Authorization,MER-0008,QuickCart,4722,Travel Agencies,9247,1.457,153.87,14,CUST-01578,1,12,0,0.5,1,gmail.com,18,1,1,45,4,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,6,0.75,0.54,5.8598,2.272,0.15,0,0.0,11,0,7,0.7523,REPRESENTED,1,0.46249999999999997
CB-2024-02262,TXN-924122155,2024-01-05,2024-02-19,2024-03-04,102.85,USD,credit,0,0,0,0,Visa,Visa_10.5,FRAUD,Fraud - Counterfeit Transaction,MER-0014,SmartBuy,6411,Insurance,30178,3.28,434.09,18,CUST-00909,43,5,0,0.5,1,gmail.com,45,1,1,30,4,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,8,1.0,0.66,4.6429,0.237,0.15,0,0.0,1,0,13,0.5118,REPRESENTED,0,0.85
CB-2024-00964,TXN-114561562,2024-01-05,2024-01-06,2024-02-10,242.29,USD,credit,1,0,0,1,Mastercard,MC_4837,FRAUD,No Cardholder Authorization,MER-0020,VeloStore,7372,Software / SaaS,44888,3.743,429.74,1,CUST-02869,12,4,0,0.5,0,gmail.com,1,5,1,45,4,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,6,0.75,0.55,5.4943,0.564,0.35,0,0.0,11,0,5,0.7423,REPRESENTED,0,0.6625000000000001
CB-2024-01563,TXN-864902752,2024-01-05,2024-01-12,2024-01-22,186.4,EUR,credit,1,0,1,0,Mastercard,MC_4808,AUTHORIZATION,Authorization Related Chargeback,MER-0015,FusionStore,5411,Grocery Stores,19967,0.815,265.96,4,CUST-01565,33,16,0,0.5,0,gmail.com,7,1,1,45,4,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,7,0.0,0.59,5.2332,0.701,0.35,0,0.0,9,2,0,0.6607,REPRESENTED,1,0.5
CB-2024-01173,TXN-538485988,2024-01-06,2024-01-27,2024-02-23,108.7,CAD,debit,0,0,0,1,Mastercard,MC_4808,AUTHORIZATION,Authorization Related Chargeback,MER-0012,NexCommerce,4816,Computer Network Services,18051,0.853,374.54,6,CUST-00457,23,10,1,0.498,1,yahoo.com,21,1,1,45,5,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,6,0.5,0.52,4.6977,0.29,0.412,0,0.0435,9,2,11,0.8329,REPRESENTED,0,0.425
CB-2024-09904,TXN-832048950,2024-01-06,2024-01-20,2024-02-08,30.15,USD,debit,0,0,0,0,Mastercard,MC_4837,FRAUD,No Cardholder Authorization,MER-0009,StreamVault,5945,Hobby / Toy Stores,18074,5.411,60.26,8,CUST-01890,8,1,0,0.5,1,corporate.com,14,1,1,45,5,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,4,0.25,0.24,3.4388,0.5,0.15,0,0.0,11,0,8,0.3524,REPRESENTED,0,0.23750000000000002
CB-2024-04549,TXN-655438983,2024-01-06,2024-01-11,2024-01-31,268.46,USD,debit,0,0,0,1,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0006,PrimeGoods,7372,Software / SaaS,9101,2.92,237.28,18,CUST-00223,51,2,0,0.5,1,gmail.com,5,6,1,30,5,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,6,0.6,0.41,5.5964,1.131,0.15,0,0.0,0,0,5,0.5663,REPRESENTED,1,0.29000000000000004
CB-2024-07535,TXN-793284857,2024-01-06,2024-03-23,2024-04-04,330.63,USD,credit,0,0,0,0,Visa,Visa_10.4,FRAUD,Fraud - Card Not Present,MER-0003,SwiftShop,5732,Electronics Stores,27813,1.574,177.32,6,CUST-00355,1,5,0,0.5,1,hotmail.com,77,4,1,30,5,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,7,0.8,0.71,5.804,1.865,0.15,0,0.0,0,0,2,0.8049,REPRESENTED,1,0.97
